;index;No;ID;Compost;Soil;No Compost;Répétition;P-resin;Pi-NaHCO3;Po-NaHCO3;Pi-NaOH;Po-NaOH;P-HCl;P-residual;Carbon;Cluster
0;0;1;PEI 1-1;Lobster waste;PEI;1;1;1996;2327.0;311.0;38.0;229.0;4072.0;225.0;157000;3
1;1;2;PEI 1-2;Lobster waste;PEI;1;2;2055;2359.0;309.0;51.0;243.0;3770.0;182.0;157000;3
2;2;3;PEI 1-3;Lobster waste;PEI;1;3;2129;2251.0;180.0;35.0;213.0;4241.0;216.0;157000;3
3;3;4;PEI 2-1;Mussel waste;PEI;2;1;513;539.0;50.0;99.0;118.0;1020.0;191.0;151000;3
4;4;5;PEI 2-2;Mussel waste;PEI;2;2;455;451.0;37.0;113.0;110.0;778.0;173.0;151000;3
5;5;6;PEI 2-3;Mussel waste;PEI;2;3;471;495.0;46.0;128.0;112.0;997.0;186.0;151000;3
6;6;7;PEI 3-1;Potato processing;PEI;3;1;1040;311.0;173.0;204.0;379.0;53.0;58.0;338000;1
7;7;8;PEI 3-2;Potato processing;PEI;3;2;1078;322.0;113.0;165.0;332.0;53.0;77.0;338000;1
8;8;9;PEI 3-3;Potato processing;PEI;3;3;1185;345.0;136.0;218.0;502.0;58.0;75.0;338000;1
9;9;10;PEI 4-1;Municipal yard waste;PEI;4;1;309;484.0;54.0;352.0;459.0;1841.0;175.0;217000;3
10;11;12;PEI 4-3;Municipal yard waste;PEI;4;3;324;751.0;110.0;78.0;485.0;1241.0;220.0;217000;3
11;12;13;QUE 1-1;Bedded swine manure;QUE;1;1;7702;871.0;73.0;82.0;622.0;4034.0;411.0;421000;3
12;13;14;QUE 1-2;Bedded swine manure;QUE;1;2;8280;1017.0;174.0;207.0;769.0;6951.0;391.0;421000;3
13;14;15;QUE 1-3;Bedded swine manure;QUE;1;3;8657;935.0;229.0;271.0;825.0;4095.0;417.0;421000;3
14;27;28;BRA 2-1;Bedded swine manure;BRA;2;1;3505;563.0;46.0;18.0;294.0;1568.0;164.0;113000;3
15;28;29;BRA 2-2;Bedded swine manure;BRA;2;2;3080;459.0;45.0;21.0;234.0;1345.0;156.0;113000;3
16;29;30;BRA 2-3;Bedded swine manure;BRA;2;3;2835;427.0;38.0;21.0;226.0;1471.0;171.0;113000;3
