No;ID;Compost;Soil;No Compost;Répétition;P-resin;Pi-NaHCO3;Po-NaHCO3;Pi-NaOH;Po-NaOH;P-HCl;P-residual;Carbon
1;PEI 1-1;Lobster waste;PEI;1;1;1996;2327;311;38;229;4072;225;157000
2;PEI 1-2;Lobster waste;PEI;1;2;2055;2359;309;51;243;3770;182;157000
3;PEI 1-3;Lobster waste;PEI;1;3;2129;2251;180;35;213;4241;216;157000
4;PEI 2-1;Mussel waste;PEI;2;1;513;539;50;99;118;1020;191;151000
5;PEI 2-2;Mussel waste;PEI;2;2;455;451;37;113;110;778;173;151000
6;PEI 2-3;Mussel waste;PEI;2;3;471;495;46;128;112;997;186;151000
7;PEI 3-1;Potato processing;PEI;3;1;1040;311;173;204;379;53;58;338000
8;PEI 3-2;Potato processing;PEI;3;2;1078;322;113;165;332;53;77;338000
9;PEI 3-3;Potato processing;PEI;3;3;1185;345;136;218;502;58;75;338000
10;PEI 4-1;Municipal yard waste;PEI;4;1;309;484;54;352;459;1841;175;217000
11;PEI 4-2;Municipal yard waste;PEI;4;2;285;;;;;;;217000
12;PEI 4-3;Municipal yard waste;PEI;4;3;324;751;110;78;485;1241;220;217000
13;QUE 1-1;Bedded swine manure;QUE;1;1;7702;871;73;82;622;4034;411;421000
14;QUE 1-2;Bedded swine manure;QUE;1;2;8280;1017;174;207;769;6951;391;421000
15;QUE 1-3;Bedded swine manure;QUE;1;3;8657;935;229;271;825;4095;417;421000
16;QUE 2-1;Dairy cattle manure;QUE;2;1;1713;93;27;45;179;146;172;436000
17;QUE 2-2;Dairy cattle manure;QUE;2;2;2340;131;70;44;251;111;198;436000
18;QUE 2-3;Dairy cattle manure;QUE;2;3;2465;118;102;42;246;123;235;436000
19;QUE 3-1;Sheep manure;QUE;3;1;1569;92;51;41;173;114;90;421000
20;QUE 3-2;Sheep manure;QUE;3;2;1852;92;50;39;122;72;87;421000
21;QUE 3-3;Sheep manure;QUE;3;3;1987;115;61;29;179;147;106;421000
22;QUE 4-1;Dairy cattle/poultry manure;QUE;4;1;3095;572;112;6;339;2719;114;373000
23;QUE 4-2;Dairy cattle/poultry manure;QUE;4;2;3451;635;60;32;439;4137;142;373000
24;QUE 4-3;Dairy cattle/poultry manure;QUE;4;3;3451;621;74;141;358;3432;145;373000
25;BRA 1-1;Solid-separated swine manure;BRA;1;1;4685;814;55;68;562;2881;297;289000
26;BRA 1-2;Solid-separated swine manure;BRA;1;2;3673;549;142;52;557;2016;269;289000
27;BRA 1-3;Solid-separated swine manure;BRA;1;3;4955;558;149;59;561;1727;266;289000
28;BRA 2-1;Bedded swine manure;BRA;2;1;3505;563;46;18;294;1568;164;113000
29;BRA 2-2;Bedded swine manure;BRA;2;2;3080;459;45;21;234;1345;156;113000
30;BRA 2-3;Bedded swine manure;BRA;2;3;2835;427;38;21;226;1471;171;113000
31;LETH 1-1;Beef cattle manure;LETH;1;1;1730;733;61;35;387;764;382;133000
32;LETH 1-2;Beef cattle manure;LETH;1;2;1578;720;93;33;395;748;414;133000
33;LETH 1-3;Beef cattle manure;LETH;1;3;1568;885;42;27;415;841;412;133000
34;LETH 2-1;Beef cattle manure;LETH;2;1;1654;708;143;22;391;505;279;296000
35;LETH 2-2;Beef cattle manure;LETH;2;2;1594;633;89;35;362;459;282;296000
36;LETH 2-3;Beef cattle manure;LETH;2;3;1776;764;80;33;395;470;308;296000
1;SUM 1-1;Municipal biosolids;SUM;1;1;5687;939;182;1856;310;2792;121;347000
2;SUM 1-2;Municipal biosolids;SUM;1;2;5646;1051;186;1969;396;3365;137;347000
3;SUM 1-3;Municipal biosolids;SUM;1;3;5736;1170;71;2095;416;2865;151;347000
4;AGA 1-1;Broiler manure;AGA;1;1;2238;749;135;308;113;5896;214;380000
5;AGA 1-2;Broiler manure;AGA;1;2;2418;855;61;345;258;5827;171;380000
6;AGA 1-3;Broiler manure;AGA;1;3;2230;837;164;293;181;7044;124;380000
7;AGA 2-1;Woodwaste chips;AGA;2;1;4948;1709;401;3494;1134;2437;355;408000
8;AGA 2-2;Woodwaste chips;AGA;2;2;5525;1770;455;3969;1337;2619;359;408000
9;AGA 2-3;Woodwaste chips;AGA;2;3;5113;1758;358;3491;1115;2549;341;408000
10;AGA 3-1;Layer manure;AGA;3;1;4074;1814;250;1457;224;8335;163;329000
11;AGA 3-2;Layer manure;AGA;3;2;4786;1663;289;1264;343;7451;182;329000
12;AGA 3-3;Layer manure;AGA;3;3;3529;1952;238;1340;234;9363;200;329000
